rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
12,glitch-bands-0034,glitch-bands,0.6235,0.6763,0.8041,0.4024,0.7902,0.2695,0.2710,0.9182,masks/glitch-bands-0034__seed-430202099.mp4,mask-previews/glitch-bands-0034__seed-430202099.mp4,demos/glitch-bands-0034__seed-430202099.mp4
13,glitch-bands-0021,glitch-bands,0.6081,0.6531,0.8174,0.2574,0.9723,0.1875,0.2919,0.9216,masks/glitch-bands-0021__seed-585495538.mp4,mask-previews/glitch-bands-0021__seed-585495538.mp4,demos/glitch-bands-0021__seed-585495538.mp4
14,white-burn-0025,white-burn,0.6080,0.8546,0.9407,0.0000,0.5964,0.3125,0.0627,0.9216,masks/white-burn-0025__seed-738757819.mp4,mask-previews/white-burn-0025__seed-738757819.mp4,demos/white-burn-0025__seed-738757819.mp4
15,glitch-bands-0023,glitch-bands,0.6061,0.6541,0.7782,0.3521,0.8824,0.1875,0.2989,0.9169,masks/glitch-bands-0023__seed-939498810.mp4,mask-previews/glitch-bands-0023__seed-939498810.mp4,demos/glitch-bands-0023__seed-939498810.mp4
16,glitch-bands-0036,glitch-bands,0.6045,0.6578,0.7917,0.3457,0.8200,0.2383,0.2925,0.9188,masks/glitch-bands-0036__seed-245907210.mp4,mask-previews/glitch-bands-0036__seed-245907210.mp4,demos/glitch-bands-0036__seed-245907210.mp4
17,glitch-bands-0016,glitch-bands,0.6044,0.6551,0.8179,0.3039,0.9217,0.1250,0.2914,0.9215,masks/glitch-bands-0016__seed-585875433.mp4,mask-previews/glitch-bands-0016__seed-585875433.mp4,demos/glitch-bands-0016__seed-585875433.mp4
18,glitch-bands-0043,glitch-bands,0.6004,0.7537,0.8333,0.5033,0.3371,0.1875,0.0627,0.9170,masks/glitch-bands-0043__seed-30050511.mp4,mask-previews/glitch-bands-0043__seed-30050511.mp4,demos/glitch-bands-0043__seed-30050511.mp4
19,glitch-bands-0038,glitch-bands,0.5816,0.6507,0.8156,0.1399,0.8555,0.3438,0.2729,0.9216,masks/glitch-bands-0038__seed-397053594.mp4,mask-previews/glitch-bands-0038__seed-397053594.mp4,demos/glitch-bands-0038__seed-397053594.mp4
20,glitch-bands-0013,glitch-bands,0.5754,0.7671,0.6631,0.6336,0.1007,0.3242,0.0627,0.8908,masks/glitch-bands-0013__seed-426108276.mp4,mask-previews/glitch-bands-0013__seed-426108276.mp4,demos/glitch-bands-0013__seed-426108276.mp4
21,glitch-bands-0027,glitch-bands,0.5646,0.7534,0.4364,0.6076,0.4475,0.2500,0.0627,0.8379,masks/glitch-bands-0027__seed-76699058.mp4,mask-previews/glitch-bands-0027__seed-76699058.mp4,demos/glitch-bands-0027__seed-76699058.mp4
22,plasma-0039,plasma,0.5557,0.7893,0.5284,0.6845,0.1155,0.1953,0.1187,0.7553,masks/plasma-0039__seed-994959957.mp4,mask-previews/plasma-0039__seed-994959957.mp4,demos/plasma-0039__seed-994959957.mp4
23,glitch-bands-0022,glitch-bands,0.5472,0.6942,0.6317,0.5863,0.2351,0.2539,0.2473,0.8920,masks/glitch-bands-0022__seed-750677810.mp4,mask-previews/glitch-bands-0022__seed-750677810.mp4,demos/glitch-bands-0022__seed-750677810.mp4
24,glitch-bands-0029,glitch-bands,0.5343,0.6342,0.8070,0.1892,0.7537,0.0000,0.2889,0.9216,masks/glitch-bands-0029__seed-885215355.mp4,mask-previews/glitch-bands-0029__seed-885215355.mp4,demos/glitch-bands-0029__seed-885215355.mp4
25,block-decay-0009,block-decay,0.5200,0.7349,0.8667,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0009__seed-899574905.mp4,mask-previews/block-decay-0009__seed-899574905.mp4,demos/block-decay-0009__seed-899574905.mp4
26,block-decay-0037,block-decay,0.5200,0.7349,0.8667,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0037__seed-943471397.mp4,mask-previews/block-decay-0037__seed-943471397.mp4,demos/block-decay-0037__seed-943471397.mp4
27,white-burn-0031,white-burn,0.5151,0.7473,0.9407,0.0000,0.4357,0.0000,0.2941,0.9216,masks/white-burn-0031__seed-559426121.mp4,mask-previews/white-burn-0031__seed-559426121.mp4,demos/white-burn-0031__seed-559426121.mp4
28,block-decay-0020,block-decay,0.5011,0.7019,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0020__seed-648452098.mp4,mask-previews/block-decay-0020__seed-648452098.mp4,demos/block-decay-0020__seed-648452098.mp4
29,block-decay-0014,block-decay,0.4919,0.6758,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0014__seed-24109879.mp4,mask-previews/block-decay-0014__seed-24109879.mp4,demos/block-decay-0014__seed-24109879.mp4
30,block-decay-0004,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0004__seed-23492038.mp4,mask-previews/block-decay-0004__seed-23492038.mp4,demos/block-decay-0004__seed-23492038.mp4
31,block-decay-0007,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0007__seed-23231875.mp4,mask-previews/block-decay-0007__seed-23231875.mp4,demos/block-decay-0007__seed-23231875.mp4
32,block-decay-0008,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0008__seed-474011067.mp4,mask-previews/block-decay-0008__seed-474011067.mp4,demos/block-decay-0008__seed-474011067.mp4
33,block-decay-0012,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0012__seed-2230685.mp4,mask-previews/block-decay-0012__seed-2230685.mp4,demos/block-decay-0012__seed-2230685.mp4
34,block-decay-0018,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0018__seed-265276185.mp4,mask-previews/block-decay-0018__seed-265276185.mp4,demos/block-decay-0018__seed-265276185.mp4
35,block-decay-0024,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0024__seed-523895298.mp4,mask-previews/block-decay-0024__seed-523895298.mp4,demos/block-decay-0024__seed-523895298.mp4
36,block-decay-0033,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0033__seed-635893295.mp4,mask-previews/block-decay-0033__seed-635893295.mp4,demos/block-decay-0033__seed-635893295.mp4
37,block-decay-0041,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0041__seed-411319474.mp4,mask-previews/block-decay-0041__seed-411319474.mp4,demos/block-decay-0041__seed-411319474.mp4
38,block-decay-0048,block-decay,0.4821,0.6581,0.8296,0.0000,0.5719,0.0000,0.0980,0.9216,masks/block-decay-0048__seed-120661756.mp4,mask-previews/block-decay-0048__seed-120661756.mp4,demos/block-decay-0048__seed-120661756.mp4
39,white-burn-0005,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0005__seed-984526166.mp4,mask-previews/white-burn-0005__seed-984526166.mp4,demos/white-burn-0005__seed-984526166.mp4
40,white-burn-0006,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0006__seed-142869493.mp4,mask-previews/white-burn-0006__seed-142869493.mp4,demos/white-burn-0006__seed-142869493.mp4
41,white-burn-0011,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0011__seed-759988579.mp4,mask-previews/white-burn-0011__seed-759988579.mp4,demos/white-burn-0011__seed-759988579.mp4
42,white-burn-0019,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0019__seed-714873649.mp4,mask-previews/white-burn-0019__seed-714873649.mp4,demos/white-burn-0019__seed-714873649.mp4
43,white-burn-0026,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0026__seed-458074786.mp4,mask-previews/white-burn-0026__seed-458074786.mp4,demos/white-burn-0026__seed-458074786.mp4
44,white-burn-0028,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0028__seed-372616908.mp4,mask-previews/white-burn-0028__seed-372616908.mp4,demos/white-burn-0028__seed-372616908.mp4
45,white-burn-0032,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0032__seed-737537535.mp4,mask-previews/white-burn-0032__seed-737537535.mp4,demos/white-burn-0032__seed-737537535.mp4
46,white-burn-0040,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0040__seed-708337.mp4,mask-previews/white-burn-0040__seed-708337.mp4,demos/white-burn-0040__seed-708337.mp4
47,white-burn-0042,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0042__seed-84598402.mp4,mask-previews/white-burn-0042__seed-84598402.mp4,demos/white-burn-0042__seed-84598402.mp4
48,white-burn-0047,white-burn,0.4604,0.6813,0.8667,0.0000,0.3241,0.0000,0.4549,0.9216,masks/white-burn-0047__seed-774054337.mp4,mask-previews/white-burn-0047__seed-774054337.mp4,demos/white-burn-0047__seed-774054337.mp4
