rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,plasma-0003,plasma,0.8563,0.8916,0.5428,1.0000,0.9047,1.0000,0.0791,0.8448,masks/plasma-0003__seed-97465648.mp4,mask-previews/plasma-0003__seed-97465648.mp4,demos/plasma-0003__seed-97465648.mp4
2,plasma-0044,plasma,0.7405,0.8003,0.5170,1.0000,0.7288,0.4766,0.1412,0.7796,masks/plasma-0044__seed-943493240.mp4,mask-previews/plasma-0044__seed-943493240.mp4,demos/plasma-0044__seed-943493240.mp4
3,plasma-0045,plasma,0.7245,0.8253,0.5013,0.9567,0.6298,0.4961,0.1268,0.8442,masks/plasma-0045__seed-829333363.mp4,mask-previews/plasma-0045__seed-829333363.mp4,demos/plasma-0045__seed-829333363.mp4
4,plasma-0001,plasma,0.7197,0.8736,0.5436,0.7287,0.7433,0.4805,0.0945,0.8126,masks/plasma-0001__seed-845565580.mp4,mask-previews/plasma-0001__seed-845565580.mp4,demos/plasma-0001__seed-845565580.mp4
5,plasma-0002,plasma,0.7113,0.8400,0.5407,1.0000,0.4153,0.4688,0.1070,0.7535,masks/plasma-0002__seed-161672567.mp4,mask-previews/plasma-0002__seed-161672567.mp4,demos/plasma-0002__seed-161672567.mp4
6,plasma-0010,plasma,0.6955,0.8213,0.5462,0.7024,0.7662,0.4336,0.1055,0.7295,masks/plasma-0010__seed-704750917.mp4,mask-previews/plasma-0010__seed-704750917.mp4,demos/plasma-0010__seed-704750917.mp4
7,plasma-0030,plasma,0.6816,0.8192,0.5279,1.0000,0.3400,0.3828,0.0627,0.7042,masks/plasma-0030__seed-430385880.mp4,mask-previews/plasma-0030__seed-430385880.mp4,demos/plasma-0030__seed-430385880.mp4
8,plasma-0017,plasma,0.6603,0.8511,0.5223,0.8614,0.3268,0.3672,0.0627,0.7640,masks/plasma-0017__seed-583839300.mp4,mask-previews/plasma-0017__seed-583839300.mp4,demos/plasma-0017__seed-583839300.mp4
9,glitch-bands-0035,glitch-bands,0.6447,0.7259,0.8558,0.1650,0.9669,0.4141,0.0627,0.9214,masks/glitch-bands-0035__seed-454314500.mp4,mask-previews/glitch-bands-0035__seed-454314500.mp4,demos/glitch-bands-0035__seed-454314500.mp4
10,plasma-0046,plasma,0.6437,0.8291,0.5244,0.8243,0.3034,0.3828,0.0627,0.7197,masks/plasma-0046__seed-693790076.mp4,mask-previews/plasma-0046__seed-693790076.mp4,demos/plasma-0046__seed-693790076.mp4
11,plasma-0015,plasma,0.6329,0.8233,0.5302,0.7120,0.3974,0.3672,0.0627,0.7130,masks/plasma-0015__seed-636788125.mp4,mask-previews/plasma-0015__seed-636788125.mp4,demos/plasma-0015__seed-636788125.mp4
