rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,glitch-bands-0003,glitch-bands,0.6134,0.7657,0.8271,0.3754,0.0323,1.0000,0.2376,0.9138,masks/glitch-bands-0003__seed-957853143.mp4,mask-previews/glitch-bands-0003__seed-957853143.mp4,demos/glitch-bands-0003__seed-957853143.mp4
2,block-decay-0001,block-decay,0.5018,0.7451,0.8667,0.0000,0.2843,0.2500,0.0980,0.9216,masks/block-decay-0001__seed-235319857.mp4,mask-previews/block-decay-0001__seed-235319857.mp4,demos/block-decay-0001__seed-235319857.mp4
3,block-decay-0002,block-decay,0.4768,0.7451,0.8667,0.0000,0.2843,0.0000,0.0980,0.9216,masks/block-decay-0002__seed-263976030.mp4,mask-previews/block-decay-0002__seed-263976030.mp4,demos/block-decay-0002__seed-263976030.mp4
