rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,dropout-foam-0001,dropout-foam,0.6404,0.7087,0.8340,0.0401,0.7840,1.0000,0.0627,0.9216,masks/dropout-foam-0001__seed-147196969.mp4,mask-previews/dropout-foam-0001__seed-147196969.mp4,demos/dropout-foam-0001__seed-147196969.mp4
2,dropout-foam-0002,dropout-foam,0.5392,0.7021,0.8337,0.0384,0.7859,0.0117,0.0627,0.9216,masks/dropout-foam-0002__seed-588379281.mp4,mask-previews/dropout-foam-0002__seed-588379281.mp4,demos/dropout-foam-0002__seed-588379281.mp4
3,dropout-foam-0004,dropout-foam,0.5365,0.6621,0.8296,0.0081,0.9147,0.0000,0.2631,0.9216,masks/dropout-foam-0004__seed-951280865.mp4,mask-previews/dropout-foam-0004__seed-951280865.mp4,demos/dropout-foam-0004__seed-951280865.mp4
4,dropout-foam-0003,dropout-foam,0.5352,0.6982,0.8315,0.0237,0.7984,0.0000,0.0627,0.9216,masks/dropout-foam-0003__seed-855198266.mp4,mask-previews/dropout-foam-0003__seed-855198266.mp4,demos/dropout-foam-0003__seed-855198266.mp4
