rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,white-burn-0022,white-burn,0.6810,0.8670,0.9407,0.0000,0.5964,1.0000,0.0627,0.9216,masks/white-burn-0022__seed-606538343.mp4,mask-previews/white-burn-0022__seed-606538343.mp4,demos/white-burn-0022__seed-606538343.mp4
2,white-burn-0003,white-burn,0.5727,0.8431,0.9407,0.0000,0.5964,0.0000,0.0627,0.9216,masks/white-burn-0003__seed-567967539.mp4,mask-previews/white-burn-0003__seed-567967539.mp4,demos/white-burn-0003__seed-567967539.mp4
3,white-burn-0001,white-burn,0.5237,0.7568,0.9407,0.0000,0.4711,0.0000,0.2431,0.9216,masks/white-burn-0001__seed-741375506.mp4,mask-previews/white-burn-0001__seed-741375506.mp4,demos/white-burn-0001__seed-741375506.mp4
4,block-decay-0020,block-decay,0.5233,0.7444,0.8667,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0020__seed-486181193.mp4,mask-previews/block-decay-0020__seed-486181193.mp4,demos/block-decay-0020__seed-486181193.mp4
5,white-burn-0010,white-burn,0.5175,0.7460,0.9407,0.0000,0.4548,0.0000,0.2667,0.9216,masks/white-burn-0010__seed-571300859.mp4,mask-previews/white-burn-0010__seed-571300859.mp4,demos/white-burn-0010__seed-571300859.mp4
6,block-decay-0002,block-decay,0.5156,0.7222,0.8667,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0002__seed-670484645.mp4,mask-previews/block-decay-0002__seed-670484645.mp4,demos/block-decay-0002__seed-670484645.mp4
7,block-decay-0004,block-decay,0.4917,0.6787,0.8296,0.0000,0.5882,0.0000,0.0745,0.9216,masks/block-decay-0004__seed-969467130.mp4,mask-previews/block-decay-0004__seed-969467130.mp4,demos/block-decay-0004__seed-969467130.mp4
8,block-decay-0012,block-decay,0.4917,0.6787,0.8296,0.0000,0.5882,0.0000,0.0745,0.9216,masks/block-decay-0012__seed-520026709.mp4,mask-previews/block-decay-0012__seed-520026709.mp4,demos/block-decay-0012__seed-520026709.mp4
9,block-decay-0019,block-decay,0.4917,0.6787,0.8296,0.0000,0.5882,0.0000,0.0745,0.9216,masks/block-decay-0019__seed-411846931.mp4,mask-previews/block-decay-0019__seed-411846931.mp4,demos/block-decay-0019__seed-411846931.mp4
10,block-decay-0005,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0005__seed-383753999.mp4,mask-previews/block-decay-0005__seed-383753999.mp4,demos/block-decay-0005__seed-383753999.mp4
11,block-decay-0006,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0006__seed-208865503.mp4,mask-previews/block-decay-0006__seed-208865503.mp4,demos/block-decay-0006__seed-208865503.mp4
12,block-decay-0007,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0007__seed-679919867.mp4,mask-previews/block-decay-0007__seed-679919867.mp4,demos/block-decay-0007__seed-679919867.mp4
13,block-decay-0008,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0008__seed-944140956.mp4,mask-previews/block-decay-0008__seed-944140956.mp4,demos/block-decay-0008__seed-944140956.mp4
14,block-decay-0013,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0013__seed-380276013.mp4,mask-previews/block-decay-0013__seed-380276013.mp4,demos/block-decay-0013__seed-380276013.mp4
15,block-decay-0017,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0017__seed-331019489.mp4,mask-previews/block-decay-0017__seed-331019489.mp4,demos/block-decay-0017__seed-331019489.mp4
16,block-decay-0021,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0021__seed-635079098.mp4,mask-previews/block-decay-0021__seed-635079098.mp4,demos/block-decay-0021__seed-635079098.mp4
17,block-decay-0023,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0023__seed-85145244.mp4,mask-previews/block-decay-0023__seed-85145244.mp4,demos/block-decay-0023__seed-85145244.mp4
18,block-decay-0024,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0024__seed-911783612.mp4,mask-previews/block-decay-0024__seed-911783612.mp4,demos/block-decay-0024__seed-911783612.mp4
19,white-burn-0016,white-burn,0.4699,0.6804,0.8682,0.0258,0.3534,0.0000,0.4222,0.9216,masks/white-burn-0016__seed-790120130.mp4,mask-previews/white-burn-0016__seed-790120130.mp4,demos/white-burn-0016__seed-790120130.mp4
20,white-burn-0009,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0009__seed-278050681.mp4,mask-previews/white-burn-0009__seed-278050681.mp4,demos/white-burn-0009__seed-278050681.mp4
21,white-burn-0011,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0011__seed-290979904.mp4,mask-previews/white-burn-0011__seed-290979904.mp4,demos/white-burn-0011__seed-290979904.mp4
22,white-burn-0014,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0014__seed-987163827.mp4,mask-previews/white-burn-0014__seed-987163827.mp4,demos/white-burn-0014__seed-987163827.mp4
23,white-burn-0015,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0015__seed-845453425.mp4,mask-previews/white-burn-0015__seed-845453425.mp4,demos/white-burn-0015__seed-845453425.mp4
24,white-burn-0018,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0018__seed-900476850.mp4,mask-previews/white-burn-0018__seed-900476850.mp4,demos/white-burn-0018__seed-900476850.mp4
