rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
34,block-decay-0040,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0040__seed-865947287.mp4,mask-previews/block-decay-0040__seed-865947287.mp4,demos/block-decay-0040__seed-865947287.mp4
35,block-decay-0045,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0045__seed-240151612.mp4,mask-previews/block-decay-0045__seed-240151612.mp4,demos/block-decay-0045__seed-240151612.mp4
36,block-decay-0046,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0046__seed-988306300.mp4,mask-previews/block-decay-0046__seed-988306300.mp4,demos/block-decay-0046__seed-988306300.mp4
37,block-decay-0048,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0048__seed-170069874.mp4,mask-previews/block-decay-0048__seed-170069874.mp4,demos/block-decay-0048__seed-170069874.mp4
38,white-burn-0012,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0012__seed-227749664.mp4,mask-previews/white-burn-0012__seed-227749664.mp4,demos/white-burn-0012__seed-227749664.mp4
39,white-burn-0013,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0013__seed-134983813.mp4,mask-previews/white-burn-0013__seed-134983813.mp4,demos/white-burn-0013__seed-134983813.mp4
40,white-burn-0015,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0015__seed-76261938.mp4,mask-previews/white-burn-0015__seed-76261938.mp4,demos/white-burn-0015__seed-76261938.mp4
41,white-burn-0018,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0018__seed-55137114.mp4,mask-previews/white-burn-0018__seed-55137114.mp4,demos/white-burn-0018__seed-55137114.mp4
42,white-burn-0020,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0020__seed-378549481.mp4,mask-previews/white-burn-0020__seed-378549481.mp4,demos/white-burn-0020__seed-378549481.mp4
43,white-burn-0021,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0021__seed-958251908.mp4,mask-previews/white-burn-0021__seed-958251908.mp4,demos/white-burn-0021__seed-958251908.mp4
44,white-burn-0028,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0028__seed-598266685.mp4,mask-previews/white-burn-0028__seed-598266685.mp4,demos/white-burn-0028__seed-598266685.mp4
45,white-burn-0034,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0034__seed-394950045.mp4,mask-previews/white-burn-0034__seed-394950045.mp4,demos/white-burn-0034__seed-394950045.mp4
46,white-burn-0037,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0037__seed-326389327.mp4,mask-previews/white-burn-0037__seed-326389327.mp4,demos/white-burn-0037__seed-326389327.mp4
47,white-burn-0044,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0044__seed-657691305.mp4,mask-previews/white-burn-0044__seed-657691305.mp4,demos/white-burn-0044__seed-657691305.mp4
48,white-burn-0047,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0047__seed-101181072.mp4,mask-previews/white-burn-0047__seed-101181072.mp4,demos/white-burn-0047__seed-101181072.mp4
