rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
25,glitch-bands-0007,glitch-bands,0.5335,0.8037,0.5279,0.5436,0.0000,0.3789,0.1309,0.6825,masks/glitch-bands-0007__seed-145272428.mp4,mask-previews/glitch-bands-0007__seed-145272428.mp4,demos/glitch-bands-0007__seed-145272428.mp4
26,glitch-bands-0039,glitch-bands,0.5202,0.7682,0.5328,0.6319,0.0000,0.1836,0.1729,0.6621,masks/glitch-bands-0039__seed-457265716.mp4,mask-previews/glitch-bands-0039__seed-457265716.mp4,demos/glitch-bands-0039__seed-457265716.mp4
27,block-decay-0008,block-decay,0.4915,0.6745,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0008__seed-851196064.mp4,mask-previews/block-decay-0008__seed-851196064.mp4,demos/block-decay-0008__seed-851196064.mp4
28,block-decay-0004,block-decay,0.4897,0.6694,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0004__seed-811832876.mp4,mask-previews/block-decay-0004__seed-811832876.mp4,demos/block-decay-0004__seed-811832876.mp4
29,white-burn-0029,white-burn,0.4849,0.6558,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/white-burn-0029__seed-159348931.mp4,mask-previews/white-burn-0029__seed-159348931.mp4,demos/white-burn-0029__seed-159348931.mp4
30,white-burn-0037,white-burn,0.4420,0.6150,0.7926,0.0000,0.4548,0.0000,0.2667,0.9216,masks/white-burn-0037__seed-282981231.mp4,mask-previews/white-burn-0037__seed-282981231.mp4,demos/white-burn-0037__seed-282981231.mp4
31,white-burn-0025,white-burn,0.4294,0.6029,0.7936,0.0131,0.3803,0.0000,0.3753,0.9216,masks/white-burn-0025__seed-330405407.mp4,mask-previews/white-burn-0025__seed-330405407.mp4,demos/white-burn-0025__seed-330405407.mp4
32,white-burn-0033,white-burn,0.4284,0.6025,0.7934,0.0107,0.3780,0.0000,0.3783,0.9216,masks/white-burn-0033__seed-125928791.mp4,mask-previews/white-burn-0033__seed-125928791.mp4,demos/white-burn-0033__seed-125928791.mp4
33,block-decay-0041,block-decay,0.4280,0.6029,0.7926,0.0000,0.3897,0.0000,0.3604,0.9216,masks/block-decay-0041__seed-6221868.mp4,mask-previews/block-decay-0041__seed-6221868.mp4,demos/block-decay-0041__seed-6221868.mp4
34,white-burn-0045,white-burn,0.4261,0.6015,0.7928,0.0042,0.3743,0.0000,0.3829,0.9216,masks/white-burn-0045__seed-687435659.mp4,mask-previews/white-burn-0045__seed-687435659.mp4,demos/white-burn-0045__seed-687435659.mp4
35,block-decay-0030,block-decay,0.4248,0.6009,0.7927,0.0012,0.3713,0.0000,0.3872,0.9216,masks/block-decay-0030__seed-852751865.mp4,mask-previews/block-decay-0030__seed-852751865.mp4,demos/block-decay-0030__seed-852751865.mp4
36,block-decay-0027,block-decay,0.4241,0.6006,0.7926,0.0000,0.3694,0.0000,0.3899,0.9216,masks/block-decay-0027__seed-537089575.mp4,mask-previews/block-decay-0027__seed-537089575.mp4,demos/block-decay-0027__seed-537089575.mp4
37,white-burn-0018,white-burn,0.4238,0.6003,0.7926,0.0000,0.3677,0.0000,0.3921,0.9216,masks/white-burn-0018__seed-970130074.mp4,mask-previews/white-burn-0018__seed-970130074.mp4,demos/white-burn-0018__seed-970130074.mp4
